Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU
1,1,LS_3336-TYP,,,LED,,,66,
2,1,2N2222A/ZTX,,,Q2,,,81,
3,1,10.5k,,,R2,,,26,
4,1,1.96K,,,R3,,,100,
5,1,1.54K,,,R4,,,29,
6,1,287,,,R5,,,72,
7,1,301,,,R6,,,32,
8,1,1k,,,R7,,,20,
9,1,1.43K,,,R8,,,6,
10,1,301,,,R9,,,9,
11,1,274,,,R10,,,103,
12,1,1k,,,R11,,,78,
13,1,4.12K,,,R12,,,41,
14,1,2.43K,,,R13,,,3,
15,1,4.75K,,,R14,,,85,
16,1,2.8K,,,R15,,,97,
17,1,590,,,R16,,,52,
18,1,6650,,,R17,,,35,
19,1,75k,,,R18,,,69,
20,1,480,,,RELAY,,,38,
21,1,{Rs},,,RSESNSOR,,,63,
22,1,uA741,,,U1,,,12,
23,1,uA741,,,U2,,,55,
24,1,uA741,,,U3,,,44,
25,1,uA741,,,U4,,,89,
